,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1
699,"I wish you're going to recover soon and take care of your family, need not to let them worry about you. Stay strong, stay healthy, you will get better.",SGD,2000,151.0,29.0,"['i', 'wish', 'you', 're', 'going', 'to', 'recover', 'soon', 'and', 'take', 'care', 'of', 'your', 'family', 'need', 'not', 'to', 'let', 'them', 'worry', 'about', 'you', 'stay', 'strong', 'stay', 'healthy', 'you', 'will', 'get', 'better']","['i', 'wish', 'you', 're', 'going', 'to', 'recover', 'soon', 'and', 'take', 'care', 'of', 'your', 'family', 'need', 'not', 'to', 'let', 'them', 'worry', 'about', 'you', 'stay', 'strong', 'stay', 'healthy', 'you', 'will', 'get', 'better']","['i', 'wish', 'you', 're', 'go', 'to', 'recov', 'soon', 'and', 'take', 'care', 'of', 'your', 'famili', 'need', 'not', 'to', 'let', 'them', 'worri', 'about', 'you', 'stay', 'strong', 'stay', 'healthi', 'you', 'will', 'get', 'better']",i wish you re going to recover soon and take care of your family need not to let them worry about you stay strong stay healthy you will get better,i wish you re go to recov soon and take care of your famili need not to let them worri about you stay strong stay healthi you will get better,0,0.0558631256708809,-0.0047631483463263765,1,0.8787047844655473,0.5063238908336757
730,Get well soon babies.. Just a little token from myself,SGD,2000,54.0,10.0,"['get', 'well', 'soon', 'babies', 'just', 'a', 'little', 'token', 'from', 'myself']","['get', 'well', 'soon', 'baby', 'just', 'a', 'little', 'token', 'from', 'myself']","['get', 'well', 'soon', 'babi', 'just', 'a', 'littl', 'token', 'from', 'myself']",get well soon baby just a little token from myself,get well soon babi just a littl token from myself,1,0.5428604859086559,-0.004839405525486721,1,1.5441031213834757,0.10258110879284699
776,"Get well soon Alex! Your family is waiting for you.

Hang in there everyone!",SGD,5000,76.0,13.0,"['get', 'well', 'soon', 'alex', 'your', 'family', 'is', 'waiting', 'for', 'you', 'hang', 'in', 'there', 'everyone']","['get', 'well', 'soon', 'alex', 'your', 'family', 'is', 'waiting', 'for', 'you', 'hang', 'in', 'there', 'everyone']","['get', 'well', 'soon', 'alex', 'your', 'famili', 'is', 'wait', 'for', 'you', 'hang', 'in', 'there', 'everyon']",get well soon alex your family is waiting for you hang in there everyone,get well soon alex your famili is wait for you hang in there everyon,1,0.6622337386443466,-0.013170893648177003,1,1.4336838708408788,0.1918057747875134
791,I donated because it is always the right thing to help others in need. Take care and get well soon.,SGD,1000,99.0,20.0,"['i', 'donated', 'because', 'it', 'is', 'always', 'the', 'right', 'thing', 'to', 'help', 'others', 'in', 'need', 'take', 'care', 'and', 'get', 'well', 'soon']","['i', 'donated', 'because', 'it', 'is', 'always', 'the', 'right', 'thing', 'to', 'help', 'others', 'in', 'need', 'take', 'care', 'and', 'get', 'well', 'soon']","['i', 'donat', 'becaus', 'it', 'is', 'alway', 'the', 'right', 'thing', 'to', 'help', 'other', 'in', 'need', 'take', 'care', 'and', 'get', 'well', 'soon']",i donated because it is always the right thing to help others in need take care and get well soon,i donat becaus it is alway the right thing to help other in need take care and get well soon,1,0.3696763666665317,-0.11047208056263005,1,1.4698099160390266,-0.0790660300547703
803,Get well soon bro. We pray for you.,SGD,3000,35.0,8.0,"['get', 'well', 'soon', 'bro', 'we', 'pray', 'for', 'you']","['get', 'well', 'soon', 'bro', 'we', 'pray', 'for', 'you']","['get', 'well', 'soon', 'bro', 'we', 'pray', 'for', 'you']",get well soon bro we pray for you,get well soon bro we pray for you,1,0.7501028895240426,0.02250312531667187,1,1.5387027431322828,0.07103222751949582
811,Prince deserves better! Get well soon!,SGD,5000,38.0,6.0,"['prince', 'deserves', 'better', 'get', 'well', 'soon']","['prince', 'deserves', 'better', 'get', 'well', 'soon']","['princ', 'deserv', 'better', 'get', 'well', 'soon']",prince deserves better get well soon,princ deserv better get well soon,1,0.6361652630925635,-0.03548896944187127,1,1.5579329016629302,-0.07311228373774804
832,Hope to get well soon ❤️,MYR,5000,24.0,6.0,"['hope', 'to', 'get', 'well', 'soon']","['hope', 'to', 'get', 'well', 'soon']","['hope', 'to', 'get', 'well', 'soon']",hope to get well soon,hope to get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
866,Small donation hope to help to ease some of your pain. Take care and hope your husband get well soon.,SGD,3000,101.0,20.0,"['small', 'donation', 'hope', 'to', 'help', 'to', 'ease', 'some', 'of', 'your', 'pain', 'take', 'care', 'and', 'hope', 'your', 'husband', 'get', 'well', 'soon']","['small', 'donation', 'hope', 'to', 'help', 'to', 'ease', 'some', 'of', 'your', 'pain', 'take', 'care', 'and', 'hope', 'your', 'husband', 'get', 'well', 'soon']","['small', 'donat', 'hope', 'to', 'help', 'to', 'eas', 'some', 'of', 'your', 'pain', 'take', 'care', 'and', 'hope', 'your', 'husband', 'get', 'well', 'soon']",small donation hope to help to ease some of your pain take care and hope your husband get well soon,small donat hope to help to eas some of your pain take care and hope your husband get well soon,1,0.5306081799310627,-0.007556421592258845,1,1.5035644873475744,0.026290245942352197
887,i hope he will get well soon without to worry about the finances.,SGD,10000,65.0,13.0,"['i', 'hope', 'he', 'will', 'get', 'well', 'soon', 'without', 'to', 'worry', 'about', 'the', 'finances']","['i', 'hope', 'he', 'will', 'get', 'well', 'soon', 'without', 'to', 'worry', 'about', 'the', 'finance']","['i', 'hope', 'he', 'will', 'get', 'well', 'soon', 'without', 'to', 'worri', 'about', 'the', 'financ']",i hope he will get well soon without to worry about the finance,i hope he will get well soon without to worri about the financ,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
900,Get well soon! Jia You💪💪💪,SGD,10000,25.0,5.0,"['get', 'well', 'soon', 'jia', 'you']","['get', 'well', 'soon', 'jia', 'you']","['get', 'well', 'soon', 'jia', 'you']",get well soon jia you,get well soon jia you,1,0.6850160893684633,0.011531431608437843,1,1.5345651379984013,-0.03027655358868811
932,"I am about to give tithes to the church but this story came up from my IG feed. It moved me so much, and I am a mother myself. Get well soon Jocelyn. I am praying for you. And stay strong Cindy. (Dian)",MYR,70000,201.0,43.0,"['i', 'am', 'about', 'to', 'give', 'tithes', 'to', 'the', 'church', 'but', 'this', 'story', 'came', 'up', 'from', 'my', 'ig', 'feed', 'it', 'moved', 'me', 'so', 'much', 'and', 'i', 'am', 'a', 'mother', 'myself', 'get', 'well', 'soon', 'jocelyn', 'i', 'am', 'praying', 'for', 'you', 'and', 'stay', 'strong', 'cindy', 'dian']","['i', 'am', 'about', 'to', 'give', 'tithe', 'to', 'the', 'church', 'but', 'this', 'story', 'came', 'up', 'from', 'my', 'ig', 'feed', 'it', 'moved', 'me', 'so', 'much', 'and', 'i', 'am', 'a', 'mother', 'myself', 'get', 'well', 'soon', 'jocelyn', 'i', 'am', 'praying', 'for', 'you', 'and', 'stay', 'strong', 'cindy', 'dian']","['i', 'am', 'about', 'to', 'give', 'tith', 'to', 'the', 'church', 'but', 'thi', 'stori', 'came', 'up', 'from', 'my', 'ig', 'feed', 'it', 'move', 'me', 'so', 'much', 'and', 'i', 'am', 'a', 'mother', 'myself', 'get', 'well', 'soon', 'jocelyn', 'i', 'am', 'pray', 'for', 'you', 'and', 'stay', 'strong', 'cindi', 'dian']",i am about to give tithe to the church but this story came up from my ig feed it moved me so much and i am a mother myself get well soon jocelyn i am praying for you and stay strong cindy dian,i am about to give tith to the church but thi stori came up from my ig feed it move me so much and i am a mother myself get well soon jocelyn i am pray for you and stay strong cindi dian,1,0.3988731556371184,-0.018630919979865268,1,1.8580316082386374,0.22438751510222785
939,I hope the kid will get better and i hope that my son also will get better from his kidney condition.,MYR,5000,101.0,21.0,"['i', 'hope', 'the', 'kid', 'will', 'get', 'better', 'and', 'i', 'hope', 'that', 'my', 'son', 'also', 'will', 'get', 'better', 'from', 'his', 'kidney', 'condition']","['i', 'hope', 'the', 'kid', 'will', 'get', 'better', 'and', 'i', 'hope', 'that', 'my', 'son', 'also', 'will', 'get', 'better', 'from', 'his', 'kidney', 'condition']","['i', 'hope', 'the', 'kid', 'will', 'get', 'better', 'and', 'i', 'hope', 'that', 'my', 'son', 'also', 'will', 'get', 'better', 'from', 'hi', 'kidney', 'condit']",i hope the kid will get better and i hope that my son also will get better from his kidney condition,i hope the kid will get better and i hope that my son also will get better from hi kidney condit,0,0.253503253146955,-0.045647410029567966,1,1.186775159688951,-0.04501965369709258
948,Get well soon Manidhar,SGD,20500,22.0,4.0,"['get', 'well', 'soon', 'manidhar']","['get', 'well', 'soon', 'manidhar']","['get', 'well', 'soon', 'manidhar']",get well soon manidhar,get well soon manidhar,1,0.7205290281010507,0.007477663868412382,1,1.5729479425992199,0.02265414864737492
970,Hopefully you can get well soon. Your mum need you to go back msia to see her. Stay safe and stay strong.,SGD,500,105.0,22.0,"['hopefully', 'you', 'can', 'get', 'well', 'soon', 'your', 'mum', 'need', 'you', 'to', 'go', 'back', 'msia', 'to', 'see', 'her', 'stay', 'safe', 'and', 'stay', 'strong']","['hopefully', 'you', 'can', 'get', 'well', 'soon', 'your', 'mum', 'need', 'you', 'to', 'go', 'back', 'msia', 'to', 'see', 'her', 'stay', 'safe', 'and', 'stay', 'strong']","['hope', 'you', 'can', 'get', 'well', 'soon', 'your', 'mum', 'need', 'you', 'to', 'go', 'back', 'msia', 'to', 'see', 'her', 'stay', 'safe', 'and', 'stay', 'strong']",hopefully you can get well soon your mum need you to go back msia to see her stay safe and stay strong,hope you can get well soon your mum need you to go back msia to see her stay safe and stay strong,1,0.36526616440765375,-0.07118546268267406,1,2.0011688758100776,0.26057437902234426
975,Get well soon!,SGD,5000,14.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
977,It’s difficult time for many the past two years. Let’s support each other! Get well soon.,SGD,25000,89.0,16.0,"['it', 's', 'difficult', 'time', 'for', 'many', 'the', 'past', 'two', 'years', 'let', 's', 'support', 'each', 'other', 'get', 'well', 'soon']","['it', 's', 'difficult', 'time', 'for', 'many', 'the', 'past', 'two', 'year', 'let', 's', 'support', 'each', 'other', 'get', 'well', 'soon']","['it', 's', 'difficult', 'time', 'for', 'mani', 'the', 'past', 'two', 'year', 'let', 's', 'support', 'each', 'other', 'get', 'well', 'soon']",it s difficult time for many the past two year let s support each other get well soon,it s difficult time for mani the past two year let s support each other get well soon,1,0.6284443747920236,-0.035384500371806134,1,1.4668813116091934,-0.00112757033453094
978,Please get well soon,SGD,10000,20.0,4.0,"['please', 'get', 'well', 'soon']","['please', 'get', 'well', 'soon']","['pleas', 'get', 'well', 'soon']",please get well soon,pleas get well soon,1,0.7389950989677478,-0.015002933307737264,1,1.5387946608333307,-0.03559611493419706
986,hope you get well soon💪,SGD,1000,23.0,5.0,"['hope', 'you', 'get', 'well', 'soon']","['hope', 'you', 'get', 'well', 'soon']","['hope', 'you', 'get', 'well', 'soon']",hope you get well soon,hope you get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
989,Get well soon young man! You can do it!,SGD,5000,39.0,9.0,"['get', 'well', 'soon', 'young', 'man', 'you', 'can', 'do', 'it']","['get', 'well', 'soon', 'young', 'man', 'you', 'can', 'do', 'it']","['get', 'well', 'soon', 'young', 'man', 'you', 'can', 'do', 'it']",get well soon young man you can do it,get well soon young man you can do it,1,0.7082213308252499,-0.006752757672632592,1,1.552054705035412,-0.029333274060822343
997,Hope he will get well soon！,SGD,1000,27.0,6.0,"['hope', 'he', 'will', 'get', 'well', 'soon']","['hope', 'he', 'will', 'get', 'well', 'soon']","['hope', 'he', 'will', 'get', 'well', 'soon']",hope he will get well soon,hope he will get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
